Location,Individual,Ager,Burn,Thin,Diff,Mean
ME,ME-F-01,Novice,9,9,0,9
ME,ME-F-04,Novice,13,12,-1,12.5
ME,ME-F-05,Novice,11,10,-1,10.5
ME,ME-F-06,Novice,11,11,0,11
ME,ME-F-07,Novice,7,10,3,8.5
ME,ME-F-08,Novice,8,13,5,10.5
ME,ME-F-09,Novice,11,14,3,12.5
ME,ME-F-10,Novice,10,18,8,14
ME,ME-F-11,Novice,10,14,4,12
ME,ME-F-12,Novice,7,9,2,8
ME,ME-F-13,Novice,8,17,9,12.5
ME,ME-F-14,Novice,9,11,2,10
ME,ME-F-15,Novice,11,12,1,11.5
ME,ME-F-16,Novice,11,8,-3,9.5
ME,ME-F-18,Novice,12,16,4,14
NB,NB-01,Novice,6,6,0,6
NB,NB-02,Novice,12,12,0,12
NB,NB-03,Novice,18,24,6,21
NB,NB-04,Novice,18,23,5,20.5
NB,NB-05,Novice,13,14,1,13.5
NB,NB-06,Novice,9,8,-1,8.5
NB,NB-07,Novice,17,17,0,17
NB,NB-08,Novice,15,19,4,17
NB,NB-09,Novice,18,12,-6,15
NB,NB-11,Novice,17,16,-1,16.5
NB,NB-12,Novice,12,12,0,12
NB,NB-13,Novice,9,9,0,9
NB,NB-14,Novice,8,8,0,8
NB,NB-15,Novice,8,9,1,8.5
NB,NB-17,Novice,14,8,-6,11
NB,NB-18,Novice,14,16,2,15
NB,NB-19,Novice,15,12,-3,13.5
NB,NB-20,Novice,9,8,-1,8.5
NB,NB-21,Novice,16,19,3,17.5
NB,NB-22,Novice,13,12,-1,12.5
NB,NB-23,Novice,9,7,-2,8
NB,NB-25,Novice,15,22,7,18.5
NB,NB-26,Novice,8,10,2,9
NB,NB-27,Novice,11,12,1,11.5
NB,NB-28,Novice,12,10,-2,11
NB,NB-29,Novice,11,12,1,11.5
NB,NB-32,Novice,8,6,-2,7
NB,NB-33,Novice,10,10,0,10
NB,NB-34,Novice,12,12,0,12
NB,NB-36,Novice,8,10,2,9
NB,NB-37,Novice,16,16,0,16
NB,NB-38,Novice,18,16,-2,17
NB,NB-39,Novice,8,6,-2,7
NB,NB-40,Novice,18,13,-5,15.5
NB,NB-41,Novice,20,19,-1,19.5
SC,SC-F-06,Novice,9,9,0,9
SC,SC-F-07,Novice,8,8,0,8
SC,SC-F-08,Novice,5,6,1,5.5
SC,SC-F-09,Novice,8,9,1,8.5
SC,SC-F-10,Novice,12,16,4,14
SC,SC-F-11,Novice,8,11,3,9.5
SC,SC-F-12,Novice,9,11,2,10
SC,SC-M-06,Novice,16,13,-3,14.5
SC,SC-M-07,Novice,8,9,1,8.5
SC,SC-M-10,Novice,5,8,3,6.5
SC,SC-M-12,Novice,9,7,-2,8
SC,SC-M-13,Novice,8,13,5,10.5
SC,SC-NA-2,Novice,10,11,1,10.5
WFB,WFB-01,Novice,16,17,1,16.5
WFB,WFB-02,Novice,16,24,8,20
WFB,WFB-03,Novice,21,20,-1,20.5
WFB,WFB-04,Novice,10,14,4,12
WFB,WFB-05,Novice,16,19,3,17.5
WFB,WFB-06,Novice,8,10,2,9
WFB,WFB-07,Novice,11,14,3,12.5
WFB,WFB-10,Novice,12,8,-4,10
WFB,WFB-11,Novice,7,16,9,11.5
WFB,WFB-12,Novice,18,20,2,19
WFB,WFB-13,Novice,11,10,-1,10.5
WFB,WFB-14,Novice,7,6,-1,6.5
WFB,WFB-16,Novice,22,19,-3,20.5
WFB,WFB-17,Novice,15,17,2,16
WFB,WFB-18,Novice,14,16,2,15
WFB,WFB-19,Novice,10,12,2,11
WFB,WFB-20,Novice,20,21,1,20.5
WFB,WFB-22,Novice,10,13,3,11.5
WFB,WFB-23,Novice,12,17,5,14.5
WFB,WFB-25,Novice,16,10,-6,13
WFB,WFB-26,Novice,15,15,0,15
WFB,WFB-27,Novice,9,9,0,9
WFB,WFB-28,Novice,14,15,1,14.5
WFB,WFB-29,Novice,8,10,2,9
WFB,WFB-31,Novice,15,16,1,15.5
WFB,WFB-33,Novice,15,14,-1,14.5
WFB,WFB-35,Novice,15,17,2,16
WFB,WFB-36,Novice,17,20,3,18.5
WFB,WFB-38,Novice,8,10,2,9
ME,ME-F-01,Novice,9,9,0,9
ME,ME-F-04,Novice,14,14,0,14
