Individual ,Burn_Novice A,Burn_Novice B,Burn_Expert,Thin_Novice A,Thin_Novice B,Thin_Expert ,Thin_Diff,Burn_Diff,Burn_Mean,Thin_Mean
ME-F-01,9,9,8,9,9,9,0,-1,8.666666667,9
ME-F-04,13,14,14,12,14,15,3,1,13.66666667,13.66666667
ME-F-05,11,12,13,10,12,15,5,2,12,12.33333333
ME-F-06,11,9,10,11,12,14,3,-1,10,12.33333333
ME-F-07,7,8,10,10,12,12,2,3,8.333333333,11.33333333
ME-F-08,8,11,9,13,13,14,1,1,9.333333333,13.33333333
ME-F-09,11,12,11,14,16,16,2,0,11.33333333,15.33333333
ME-F-10,10,9,11,18,17,16,-2,1,10,17
ME-F-11,10,9,10,14,15,13,-1,0,9.666666667,14
ME-F-12,7,8,8,9,9,10,1,1,7.666666667,9.333333333
ME-F-13,8,11,11,17,14,13,-4,3,10,14.66666667
ME-F-14,9,12,12,11,15,14,3,3,11,13.33333333
ME-F-15,11,14,14,12,14,14,2,3,13,13.33333333
ME-F-16,11,13,10,8,10,10,2,-1,11.33333333,9.333333333
ME-F-18,12,14,13,16,18,15,-1,1,13,16.33333333
SC-F-06,9,13,10,9,9,10,1,1,10.66666667,9.333333333
SC-F-07,8,9,10,8,13,11,3,2,9,10.66666667
SC-F-08,5,7,8,6,9,9,3,3,6.666666667,8
SC-F-09,8,8,9,9,11,9,0,1,8.333333333,9.666666667
SC-F-10,12,14,12,16,18,15,-1,0,12.66666667,16.33333333
SC-F-11,8,11,12,11,14,13,2,4,10.33333333,12.66666667
SC-F-12,9,11,9,11,12,12,1,0,9.666666667,11.66666667
SC-M-06,16,15,13,13,18,17,4,-3,14.66666667,16
SC-M-07,8,8,7,9,15,13,4,-1,7.666666667,12.33333333
SC-M-10,5,5,7,8,10,9,1,2,5.666666667,9
SC-M-12,9,9,9,7,11,10,3,0,9,9.333333333
SC-M-13,8,13,10,13,13,13,0,2,10.33333333,13
SC-NA-2,10,10,11,11,12,12,1,1,10.33333333,11.66666667
WFB-01,16,18,16,17,21,18,1,0,16.66666667,18.66666667
WFB-02,16,18,18,24,30,17,-7,2,17.33333333,23.66666667
WFB-03,21,26,18,20,24,20,0,-3,21.66666667,21.33333333
WFB-04,10,17,12,14,16,12,-2,2,13,14
WFB-05,16,18,16,19,20,20,1,0,16.66666667,19.66666667
WFB-06,8,10,9,10,12,9,-1,1,9,10.33333333
WFB-07,11,14,16,14,16,16,2,5,13.66666667,15.33333333
WFB-10,12,9,8,8,10,7,-1,-4,9.666666667,8.333333333
WFB-11,7,15,13,16,16,15,-1,6,11.66666667,15.66666667
